ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Participant 1,Participant 2,Lehmann Zhukov Scale,Theatre,Polygon,Massacre,Alternative Sources Consulted,Infered Scale,Minor,Description
"Aberdare, Kenya1955(2nd)",Kenya,-0.4145514,36.6661998,3,"Aberdare, Kenya",1955,"['Kenya', 'Kenya', 'British', 'British', 'Kenya']",Mau Mau War,Mau Mau,United Kingdom,Mau Mau,United Kingdom,2.0,Land,,No,,,,No description available
"Aberdare, Wales1093",United Kingdom,51.716154,-3.451816,3,"Aberdare, Wales",1093,"['Wales', 'Glamorgan']",Anglo-Welsh Wars,England,Wales,England,Wales,,Land,,No,,,,No description available
Aberdeen1644,United Kingdom,57.149717,-2.094278,3,Aberdeen,1644,"['British', 'Scottish', 'Aberdeen', 'Inverlochy']",British Civil Wars,Royalists,Covenanters,Royalists,Covenanters,1.0,Land,,Battle followed by massacre,https://www.battlefieldstrust.com/media/669.pdf,,,Battle of Aberdeen may refer to:
Aber Edw1282,United Kingdom,52.1168663,-3.3541708,3,Aber Edw,1282,"['English', 'Wales', 'Radnor']",Anglo-Welsh Wars,England,Wales,England,Wales,,Land,,No,,,,No description available
Aboasa1900,Ghana,6.8076157,-1.5454459,"Clodfelter, p351",Aboasa,1900,,Ashanti Rising,United Kingdom,Ashanti Rebels,,,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p351",,,No description available
Abomey1892,Benin,7.1854773,1.9979411,3,Abomey,1892,['French'],['Dahomean War'],France,Dahomey,France,Dahomey,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p208",,,"The Battle of Abomey (1892) was the climactic struggle in the Dahomey War between France and the Kingdom of Dahomey. French forces, commanded by Alfred-Amédée Dodds, were victorious over the Dahomey army. The triumph was pivotal to linking French possessions in upper Senegal with those in the upper Niger."
Aboukir1799,Egypt,31.3114241,30.0603342,3,Aboukir,1799,"['French', 'British', 'Turkish', 'Egypt', 'French', 'Turkish']",French Revolutionary Wars,France,Ottoman Empire,France,Ottoman Empire,2.0,Land,,No,"The Field and the Forge, Landers, p390",,,Battle of Abukir may refer to:
Aboukir1801,Egypt,31.3114241,30.0603342,3,Aboukir,1801,"['French', 'British', 'Aboukir', 'French', 'Alexandria']",French Revolutionary Wars,"United Kingdom, Ottoman Empire",France,"United Kingdom, Ottoman Empire",France,2.0,Land,,No,"Encyclopedia of Warfare, Amber Books, 2014, p510 ",,,Battle of Abukir may refer to:
Abrittus251,Bulgaria,43.5237175,26.5404685,3,Abrittus,251,['Philippopolis'],['Gothic War'],"Goths, Scythians",Rome,"Goths, Scythians",Rome,,Land,,No,,,,"The Battle of Abritus also known as the Battle of Forum Terebronii occurred near Abritus (modern Razgrad) in the Roman province of Moesia Inferior in the summer of 251. It was fought between the Romans and a federation of Gothic and Scythian tribesmen under the Gothic king Cniva. The Roman army was soundly defeated, and Roman emperors Decius and Herennius Etruscus, his son, were both killed in battle. It was one of the worst defeats suffered by the Roman Empire against the Germanic tribes, rated by the Roman historian Ammianus Marcellinus as on par with the Battle of the Teutoburg Forest in 9, the Marcomannic invasion of Roman Italy in 170, and the Battle of Adrianople in 378."
Abu Ageila1956,Egypt,30.83783,34.1133,4,Abu Ageila,1956,"['Arab', 'Israels', 'Egypt', 'Sinai', 'Egyptians', 'Israels']",['Sinai War'],Israel,Egypt,Israel,Egypt,1.0,Land,,No,,,,No description available
Abu Ageila1967,Egypt,30.83783,34.1133,4,Abu Ageila,1967,"['Arab', 'Israels', 'Egyptian', 'Egyptians']",Six Day War,Israel,Egypt,Israel,Egypt,4.0,Land,ABA1967,No,https://www.armyupress.army.mil/Portals/7/combat-studies-institute/csi-books/key-to-the-sinai.pdf; Shapefile taken from Page 10,,,No description available
Abu Hamed1897,Sudan,19.5253379,33.2798188,4,Abu Hamed,1897,"['British', 'British', 'Sudan', 'British', 'Sudanese']",British-Sudan Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p203",,,"The Battle of Abu Hamed occurred on 7 August 1897 between a flying column of Anglo-Egyptian soldiers under Major-General Sir Archibald Hunter and a garrison of Mahdist rebels led by Mohammed Zain. The battle was a victory for the Anglo-Egyptian forces, and secured for the British the strategically vital town of Abu Hamed, which was the terminus for trade and transportation across the Nubian Desert."
Abu Klea1885,Sudan,16.9833533,33.2912452,4,Abu Klea,1885,"['British', 'British']",British-Sudanese Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,2.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London, 2014, p709 ",,,"The Battle of Abu Klea, or the Battle of Abu Tulayh took place between 16 and 18 January 1885, at Abu Klea, Sudan, between the British Desert Column and Mahdist forces encamped near Abu Klea. The Desert Column, a force of approximately 1,400 soldiers, started from Korti, Sudan on 30 December 1884; the Desert Column's mission, in a joint effort titled the ""Gordon Relief Expedition"", was to march across the Bayuda Desert to the aid of General Charles George Gordon at Khartoum, Sudan, who was besieged there by Mahdist forces."
Abu Kru1885,Sudan,16.6399301,33.0806383,4,Abu Kru,1885,"['British', 'Dongola', 'British', 'Mahdists', 'British', 'Cairo']",British-Sudan Wars,United Kingdom,Sudanese Mahdists,United Kingdom,the Mahdiyya,,Land,,No,"For location, Spiers, the Victorian Soldier in Africa",,,"The Battle of Abu Kru (also known as the Battle of Gubat) was part of the British Sudan campaign. It was fought on 19 January 1885, two days after the Battle of Abu Klea, between the British and the Mahdists. The British force under General Sir Herbert Stewart numbered 1,200 while a large number of Mahdists, probably around 13,000–14,000 were in pursuit."
Abu Tellul1918,Israel,31.9231824,35.3566345,4,Abu Tellul,1918,"['Jericho', 'Turkish', 'German', 'Australian', 'Germans']",['World War'],Australia,"Germany, Ottoman Empire",Australia,"Germany, Ottoman Empire",,Land,,No,,,,The Battle of Abu Tellul (called the Affair of Abu Tellul by the British Battles Nomenclature Committee) was fought on 14 July 1918 during the Sinai and Palestine Campaign of World War I after German and Ottoman Empire forces attacked the British Empire garrison in the Jordan Valley. The valley had been occupied by the Egyptian Expeditionary Force (EEF) from February 1918 when Jericho was captured. Following two raids east of the River Jordan by the EEF the first in March and second in April the defence of the valley became the responsibility of the Desert Mounted Corps.
Abydos-200,Egypt,26.1837366,31.9227288,4,Abydos,-200,"['Macedon', 'Abydos', 'Asian', 'Rhodian']",['Macedonian War'],Macedonia,"Abydos, Pergamum, Rhodes",Macedonia,"Abydos, Pergamum, Rhodes",,Land,,No,,,,"The Battle of Abydos was an Athenian naval victory in the Peloponnesian War.  In the battle, the Spartan fleet, under Mindarus, attempted to rescue a small allied fleet that had been driven ashore at Dardanus, but was attacked by the Athenian fleet, under Thrasybulus.  The fighting was evenly contested for a great length of time, but towards evening, the arrival of Alcibiades with Athenian reinforcements tipped the balance in favor of the Athenians, and the Peloponnesians were forced to flee back to their base at Abydos, suffering heavy losses along the way."
Abydos989,Egypt,26.1837366,31.9227288,4,Abydos,989,['Byzantine'],Byzantine Military Rebellions,Emperor Basil II,Bardas Phocas,Emperor Basil II,Bardas Phocas,,Land,,No,,,,"The Battle of Abydos was an Athenian naval victory in the Peloponnesian War.  In the battle, the Spartan fleet, under Mindarus, attempted to rescue a small allied fleet that had been driven ashore at Dardanus, but was attacked by the Athenian fleet, under Thrasybulus.  The fighting was evenly contested for a great length of time, but towards evening, the arrival of Alcibiades with Athenian reinforcements tipped the balance in favor of the Athenians, and the Peloponnesians were forced to flee back to their base at Abydos, suffering heavy losses along the way."
Acajete1839,Mexico,19.1061301,-97.9522432,5,Acajete,1839,"['Mexican', 'Mexican', 'Jalapa', 'Tampico']",Mexican Federalist Wars,Mexico,Mexican Rebels,Mexico,Mexican Rebels,1.0,Land,,No,,,,"The Battle of Acajete was fought at Acajete, Veracruz on 3 May 1839 between insurgents under the joint command of José de Urrea and José Antonio Mexía and 1,600 Centrists under the command of General Gabriel Valencia. The insurgents lost, Mexia was captured and executed, and Urrea fled to Tampico."
Acambaro1858,Mexico,20.025105,-100.718241,5,Acambaro,1858,"['Mexico', 'Conservative', 'Acambaro']",['Mexican War'],Draw,,Mexican Liberals,Mexican Conservatives,1.0,Land,,No,,,,No description available
Acapulco1855,Mexico,16.8531086,-99.8236533,5,Acapulco,1855,"['Mexican', 'Acapulco', 'Mexico', 'Santa Anna', 'Mexican']",Mexican Liberal Rebellion,Mexican Liberals,Mexican Conservatives,Mexican Liberals,Mexican Conservatives,,Land,,No,,,,The Battle of Acapulco were a series of battles during the Second French intervention in Mexico. Acapulco was a key port of the Pacific trade routes and thus changed hands several times in the course of the Franco-Mexican war. In this period the population of the city had decreased from 6000 to 2000.
Accra1824,Ghana,5.554828,-0.200086,"Harbottles, p10",Accra,1824,,First British-Ashanti War,Ashanti Kingdom,United Kingdom,,,2.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p10",,,Battle of Accra may refer to:
Accra1825,Ghana,5.554828,-0.200086,"Harbottles, p10",Accra,1825,,First British Ashanti War,United Kingdom,Ashanti Kingdom,,,2.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p10",,,Battle of Accra may refer to:
Acerrae-90,Italy,40.9441091,14.371438,5,Acerrae,-90,['Rome'],Roman Social War,Rome,Samnites,Rome,Samnites,,Land,,No,,,,"The Battle of Acerrae was fought during the Social War between Roman forces under Lucius Julius Caesar, not to be confused with the triumvir, and rebel forces under Gaius Papius Mutilus. "
Acheribe1893,Benin,9.30769,2.315834,5,Acheribe,1893,"['Abomey', 'France', 'Behanzins']",3rd Franco-Dahomean War,France,Dahomey,France,Dahomey,,Land,,No,,,,No description available
Ackia1736,United States,34.2721578,-88.7379271,5,Ackia,1736,"['Louisiana', 'Chickasaw', 'French', 'Mississippi', 'French', 'Indian', 'New Orleans']",Chickasaw-French War,Chickasaws,France,Chickasaws,France,1.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p119",,,"The Chickasaw Campaign of 1736 (February 28 – March 25, 1736), also known as the First Chickasaw War, consisted of two pitched battles by the French and allies against Chickasaw fortified villages in  present-day Northeast Mississippi. Under the overall direction of the governor of Louisiana, Jean-Baptiste Le Moyne de Bienville, a force from Upper Louisiana attacked Ogoula Tchetoka on March 25, 1736. A second force from Lower Louisiana attacked Ackia on May 26, 1736. Both attacks were bloodily repulsed (see Atkinson, 2004)."
Aclea851,United Kingdom,51.4268318,0.3545853,5,Aclea,851,"['Britain', 'London', 'Thames']",Viking Raids on Britain,Wessex,Danish Vikings,Wessex,Danish Vikings,,Land,,No,,,,"The Battle of Aclea occurred in 851 between the West Saxons led by Æthelwulf, King of Wessex and the Danish Vikings at an unidentified location in England (noted by near-contemporaries as being in Surrey). It resulted in a West Saxon victory."
Acomo Pueblo1598,United States,34.8963361,-107.5910634,6,Acomo Pueblo,1598,[],Spanish Conquest of New Mexico,Spain,Pueblo Indians,Spain,Pueblo Indians,1.0,Land,,Battle followed by masssacre,,,,No description available
Acosta-Nu1869,Paraguay,-25.419142,-57.5445587,6,Acosta-Nu,1869,"['Piribebuy', 'Brazilian']",War of the Triple              Alliance,Brazil,Paraguay,Brazil,Paraguay,2.0,Land,,No,"Clodfelter, Warfare and Armed Conflict, p322",,,No description available
Acqui1799,Italy,44.6763846,8.4670285,6,Acqui,1799,"['French', 'French', 'Italy', 'Russian', 'French', 'Austrian', 'Russian', 'French']",French Revolutionary 2nd Coalition,"Austria, Russia",France,"Austria, Russia",France,3.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p510 - assuming numbers broadly similar to Novi Ligure three days later",,,No description available
Acragas-406,Italy,37.3094075,13.5859823,6,Acragas,-406,"['Carthaginian', 'Greek', 'Acragas', 'Spartans']",Carthaginian-Syracusan Wars,Carthage,Syracuse,Carthage,Syracuse,,Land,,No,,,,The siege of Akragas took place in 406 BCE in Sicily; the Carthaginian enterprise ultimately lasted a total of eight months. The Carthaginian army under Hannibal Mago besieged the Dorian Greek city of Akragas in retaliation for the Greek raids on Punic colonies in Sicily. The city managed to repel Carthaginian attacks until a relief army from Syracuse defeated part of the besieging Carthaginian army and lifted the siege of the city.
Acragas-262,Italy,37.3094075,13.5859823,6,Acragas,-262,"['Rome', 'Acragas', 'Sicily', 'Carthaginian', 'Rome', 'Romans']",['Punic War'],Rome,Carthage,Rome,Carthage,3.0,Land,,No,"A Global History of Pre Modern Warfare, Kaushik Roy, 2021, p111",,,The siege of Akragas took place in 406 BCE in Sicily; the Carthaginian enterprise ultimately lasted a total of eight months. The Carthaginian army under Hannibal Mago besieged the Dorian Greek city of Akragas in retaliation for the Greek raids on Punic colonies in Sicily. The city managed to repel Carthaginian attacks until a relief army from Syracuse defeated part of the besieging Carthaginian army and lifted the siege of the city.
Acre1104,Israel,32.933052,35.082678,6,Acre,1104,"['Crusader-Muslim', 'Jerusalem', 'Genoese', 'Genoese', 'Bena Zahr']",Crusader-Muslim Wars,"Genoa, Kingdom of Jerusalem",Fatimid Caliphate,"Genoa, Kingdom of Jerusalem",Fatimid Caliphate,,Land,,No,,,,Battle of Acre may refer to:
Acre1189-1191,Israel,32.933052,35.082678,6,Acre,1189,"['Haifa', 'Kurdish-Muslim', 'England', 'Muslim']",Third Crusade,England,Ayyubid Caliphate,England,Ayyubid Caliphate,3.0,Land,,Battle followed by massacre,,,,Battle of Acre may refer to:
Acre1291,Israel,32.933052,35.082678,6,Acre,1291,"['Muslim', 'Christian']",Later Crusader-Muslim Wars,Mamlukes,"Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights",Mamlukes,"Kingdom of Jerusalem, Knights Hospitallier, Knights Templar, Teutonic Knights",3.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p225",,,Battle of Acre may refer to:
Acre1799,Israel,32.933052,35.082678,7,Acre,1799,"['French', 'Egypt', 'Egypt', 'Syria', 'Haifa', 'British', 'Egypt']",French Revolutionary Wars,"Pasha of Acre, United Kingdom",France,"Pasha of Acre, United Kingdom",France,2.0,Land,,No,"Encyclopedia of Warfare, Amber Books, p508",,,Battle of Acre may refer to:
Acre1840,Israel,32.933052,35.082678,7,Acre,1840,"['Turko', 'Egyptian', 'Turkey', 'Nezib', 'Syria', 'Turkish', 'European', 'Beirut', 'British', 'Turkish']",2nd Turko-Egyptian War,"United Kingdom, Austria",Egypt,"United Kingdom, Austria",Egypt,2.0,Land and Sea,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p594. Source states eight ships of the line involved. Ship of the line crew 600-800 approx. https://www.britannica.com/technology/ship-of-the-line",,,Battle of Acre may refer to:
Acre1831,Israel,32.933052,35.082678,7,Acre,1831,"['Egyptian', 'War                                          ', 'Egyptian', 'Turkish', 'Syria', 'Gaza', 'Jaffa', 'Jerusalem', 'Anatolia', 'Turks']",1st Turko-Egyptian War,Egypt,Turkey,Egypt,Turkey,2.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London, 2014, p594. Assuming Ibrahim Pasha's force to be roughly similar in size to the force at the subsequent battle of Konya, and the attackers to outnumber the defenders",,,Battle of Acre may refer to:
Acropolis1821,Greece,37.9715323,23.7257492,7,Acropolis,1821,[],Greek War of Independence,Greek Rebels,Greek Muslims,Greek Rebels,Greek Muslims,1.0,Land,,Yes,,,,No description available
Acropolis1826-1827,Greece,37.9715323,23.7257492,7,Acropolis,1826,"['Athens', 'Acropolis', 'Yannis', 'British', 'Acropolis', 'Chaidari', 'Turkey', 'Greece']",['Greek War'],Ottoman Empire,Greek Rebels,Ottoman Empire,Greek Rebels,2.0,Land,,Battle followed by massacre,"Clodfelter, Warfare and Armed Conflict, p191",,,No description available
Acs1849,Hungary,47.7112968,18.0103464,7,Acs,1849,"['Hungarian', 'Austria', 'Hungary', 'Russia', 'Hungarian', 'Komarom', 'Budapest', 'Temesvar']",Hungarian Revolutionary War,Draw,,Hungarian Rebels,"Russia, Austria",3.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p650. Assuming army sizes broadly similar to those at Temesvar later in the year (same commanders and sides)",,,"The Second Battle of Komárom, also known as the Battle of Ács, took place on 2 July 1849 between the Hungarian Revolutionary Army (led by General Artúr Görgei) and the Imperial Austrian Army of the Austrian Empire (led by Supreme Commander Field Marshal Julius von Haynau); a contingent of almost 12,000 Russian Empire troops was led by Lieutenant General Fyodor Sergeyevich Panyutyin. The Austrian army outnumbered the Hungarian troops two to one, and had a multitude of infantry (landwehr, grenadiers, seressaner, and kaiserjägers), light infantry (uhlans, dragoons, cossacks, and chevau-léger), heavy cavalry (cuirassiers), and better weapons. The Hungarians, except for the Landwehr (Hungarian: Honvéd) and the hussars, had few types of military units. Other problems also negatively impacted the Hungarian army. The Lajos Kossuth government decided to withdraw the Hungarian troops from Komárom to southern Hungary without consulting Görgei, the war minister, the only one authorised to make a military decision. Görgei grudgingly agreed to the decision, fixing the date of departure for southern Hungary to 3 July. Uncertainty and conflicts existed among the Hungarian officers and soldiers before the attack. Kossuth sent Lieutenant General Lázár Mészáros to Komárom to relieve Görgei of leadership and send him to Pest. When Mészáros approached Komárom by steamboat on 2 July, however, he heard gunfire from the battle and returned to Pest."
Actium-31,Greece,38.9176738,20.797808,7,Actium,-31,"['Roman', 'Octavians', 'Greece', 'Preveza', 'Antonys', 'Egypt']",Wars of the Second Triumvirate,Octavians' Forces,Mark Anthony's Army,Octavians' Forces,Mark Anthony's Army,3.0,Sea,,No,"https://www.britannica.com/event/Battle-of-Actium-ancient-Roman-history; Warfare in the Classical World, John Warry, 1980, p185",1,,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agrippa, and the combined fleets of both Mark Antony and Cleopatra. The battle took place on 2 September 31 BC in the Ionian Sea, near the former Roman colony of Actium, Greece, and was the climax of over a decade of rivalry between Octavian and Antony."
Aculco1810,Mexico,20.0985989,-99.8275861,7,Aculco,1810,"['Mexican', 'Mexico City', 'Guadalajara', 'Royalist']",Mexican War of Independence,Spain,Mexican Rebels,Spain,Mexican Rebels,4.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p560. Assuming Hidalgo's force to be approximately similar to that fielded at Calderon Bridge early the following year",,,No description available
Acultzingo1862,Mexico,18.7156563,-97.3077659,8,Acultzingo,1862,"['Mexican', 'French', 'Mexico', 'Acultzingo', 'Mexican', 'French']",Mexican-French War,France,Mexican Liberals,France,Mexican Liberals,2.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p663. Harbottle's Dictionary of Battles, George Bruce, 1979, p10-11",,,"The Battle of Las Cumbres also known as the Battle of Acultzingo was a skirmish at the Acultzingo Pass between the French invasion force under Charles de Lorencez and Mexican republican forces under Ignacio Zaragoza.  It took place on 28 April 1862.  Despite holding the high ground, Zaragoza was not willing to risk his forces by engaging the French Army in the open.  As the French troops seized the first line of Mexican entrenchments, Zaragoza withdrew his forces to their stronghold of Puebla."
Adairsville1864,United States,34.3687021,-84.9341093,8,Adairsville,1864,"['Georgia', 'Atlanta', 'Chattanooga', 'Calhoun', 'Cassville', 'Dallas']",American Civil War,United States,Confederate States of America,United States,Confederate States of America,,Land,,No,,,,"The Battle of Adairsville  was a part of the Atlanta Campaign fought during the American Civil War on May 17, 1864, just northeast of Rome, Georgia. The brief engagement was a Confederate delaying action that allowed General Joseph E. Johnston to bait a trap for the Union army at Cassville."
Adana964,Turkey,36.9914194,35.3308285,8,Adana,964,"['Muslim', 'Syria', 'Muslims', 'Asia Minor', 'Cilician', 'Adana', 'Turkey', 'Syria']",Later Byzantine-Muslim Wars,Byzantium,Hamdanid Dynasty,Byzantium,Hamdanid Dynasty,3.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p187. Assuming Byzantine force to be similar in size to army also commanded by the Emperor which invaded Crete three years earlier",,,No description available
Adas1775,India,22.4952782,72.9436393,8,Adas,1775,"['Poona', 'Kasegaum']",Maratha Wars of Succession,Poona,Peshwa Ragunath Rao,Poona,Peshwa Ragunath Rao,,Land,,No,,,,No description available
Adas1775(2nd),India,22.4952782,72.9436393,8,Adas,1775,"['British', 'Napar']",1st British Maratha War,United Kingdom,Marathas,United Kingdom,Marathas,3.0,Land,,No,"Harbottle's Dictionary of Battles, George Bruce, 1979, p24",,,No description available
Adasa-161,Israel,31.877519,35.1230051,8,Adasa,-161,"['Jerusalem', 'Hebrew']",['Maccabean War        '],Hebrews,Seleucid Empire,Hebrews,Seleucid Empire,,Land,,No,,,,"The Battle of Adasa was fought during the Maccabean revolt on the 13th of the month Adar (late winter, equivalent to March), 161 BC at Adasa (Hebrew: חדשה), near Beth-horon.  It was a battle between the rebel Maccabees of Judas Maccabeus (Judah Maccabee) and the Seleucid Empire, whose army was led by Nicanor.  The Maccabees won the battle after killing Nicanor early in the fighting. The battle came after a period of political maneuvering over several months where the peace deal established a year earlier by Lysias was tested by the new High Priest Alcimus, the new military governor Nicanor, and the Maccabee leader Judas Maccabeus."
Adda-223,Italy,45.8012456,9.3249373,8,Adda,-223,"['Italy', 'Italy', 'Roman']",Gallic Wars in Italy,Rome,Insubrian Gauls,Rome,Insubrian Gauls,,Land,,No,,,,No description available
Adda490,Italy,45.8012456,9.3249373,8,Adda,490,"['German', 'Italy', 'Sontius', 'Verona', 'Ravenna']",Goth invasion of Italy,Ostrogoths,German kingdom of Italy,Ostrogoths,German kingdom of Italy,,Land,,No,,,,No description available
Ad Decimum533,Tunisia,36.8592738,10.3137703,9,Ad Decimum,533,"['North Africa', 'Romans']",Vandal War in Africa,Byzantium,Vandal Kingdom in Africa,Byzantium,Vandal Kingdom in Africa,4.0,Land,,No,"Encyclopedia of Warfare, Amber Books, London 2014, p167-168. States that 10-12,000 Vandals were killed but that the majority of the army 'remainded intact', which implies an original strength of over 20,000. Roman strength 8,000. Hutchinson Dictionary of Ancient and Medieval Warfare, 'Ad Decimum, Battle of'; Harbottle's Dictionary of Battles, p59, gives the Vandal strength at 160,000 approx.",,,"The Battle of Ad Decimum took place on September 13, 533 between the armies of the Vandals, commanded by King Gelimer, and the Byzantine Empire, under the command of General Belisarius. This event and events in the following year are sometimes jointly referred to as the Battle of Carthage, one of several battles to bear that name. The Byzantine victory marked the beginning of the end for the Vandals and began the reconquest of the west under the Emperor Justinian I."
Addis Ababa1936,Ethiopia,8.9806034,38.7577605,9,Addis Ababa,1936,"['Ogaden', 'Italian', 'Addis Ababa']",2nd Italo-Ethiopian War,Italy,Ethiopia,Italy,Ethiopia,3.0,Land,,Battle followed by massacre,"Clodfelter, Warfare and Armed Conflict, p355",1,,No description available
